,tree,tree_norm,head1_self,head_sum_self,head1_no_self,head_sum_no_self
feature_0,0.0576,0.0576,0.2064,0.2064,0.0766,0.0766
feature_1,0.1454,0.1454,0.2452,0.2452,0.0914,0.0914
feature_2,0.0651,0.0651,0.2474,0.2474,0.0914,0.0914
feature_3,0.0445,0.0445,0.2797,0.2797,0.1038,0.1038
feature_4,0.034,0.034,0.1358,0.1358,0.0513,0.0513
feature_5,0.0659,0.0659,0.302,0.302,0.1132,0.1132
feature_6,0.0735,0.0735,0.1343,0.1343,0.0504,0.0504
feature_7,0.0277,0.0277,0.2153,0.2153,0.0786,0.0786
feature_8,0.0495,0.0495,0.2039,0.2039,0.0764,0.0764
feature_9,0.0569,0.0569,0.2135,0.2135,0.0801,0.0801
feature_10,0.38,0.38,0.2538,0.2538,0.1025,0.1025
rank_correlation,1.0,1.0,0.2455,0.2455,0.2818,0.2818
cosine_similarity,1.0,1.0,0.7114,0.7114,0.7293,0.7293
