,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0658,0.0424,0.1368,0.1504,0.1489,0.138,0.5741,0.043,0.0282,0.1289,0.0879,0.288
feature_1,-0.2392,0.1543,0.204,0.2254,0.2257,0.2089,0.8641,0.0665,0.1326,0.1492,0.0412,0.3896
feature_2,-0.0125,0.0081,0.2559,0.2238,0.216,0.2506,0.9463,0.1532,0.0514,0.0663,0.0438,0.3148
feature_3,0.2002,0.1291,0.2563,0.2439,0.2486,0.2503,0.9992,0.0442,0.2078,0.1599,0.0846,0.4965
feature_4,-0.0344,0.0222,0.146,0.1458,0.1455,0.1458,0.5831,0.0524,0.0236,0.0292,0.1513,0.2565
feature_5,0.1284,0.0828,0.1893,0.1616,0.1581,0.1842,0.6932,0.0925,0.0705,0.0412,0.0714,0.2756
feature_6,-0.1681,0.1084,0.1891,0.1987,0.1993,0.1883,0.7755,0.0525,0.0401,0.1825,0.1107,0.3857
feature_7,-0.1353,0.0873,0.2384,0.2242,0.2244,0.2374,0.9243,0.0782,0.0832,0.0999,0.0463,0.3075
feature_8,0.0551,0.0355,0.1198,0.1255,0.1216,0.123,0.49,0.0904,0.051,0.0225,0.0392,0.2031
feature_9,0.1204,0.0776,0.2178,0.2221,0.2251,0.2206,0.8857,0.0565,0.1653,0.0517,0.1265,0.4001
feature_10,0.3912,0.2523,0.3618,0.3936,0.4019,0.3681,1.5254,0.2705,0.1464,0.0687,0.1971,0.6827
rank_correlation,0.1364,1.0,0.4909,0.7364,0.7545,0.4364,0.5091,0.0636,0.6182,0.6273,0.1818,0.7091
cosine_similarity,0.3753,1.0,0.8965,0.9207,0.9258,0.9009,0.9119,0.8409,0.8794,0.7967,0.8399,0.9342
