,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,-0.0132,0.0009,0.0552,0.055,0.0586,0.0558,0.2245,0.0034,0.0041,0.0025,0.0026,0.0125
feature_1,0.0576,0.0039,0.0643,0.0623,0.0593,0.0564,0.2422,0.0142,0.003,0.0038,0.0028,0.0238
feature_2,0.0172,0.0011,0.0442,0.0461,0.0479,0.0403,0.1785,0.0029,0.0027,0.0017,0.0024,0.0096
feature_3,0.0172,0.0012,0.061,0.0654,0.0635,0.0517,0.2417,0.005,0.0038,0.0027,0.0039,0.0155
feature_4,0.0002,0.0,0.0619,0.0632,0.0651,0.0662,0.2565,0.0029,0.0027,0.0057,0.0027,0.0139
feature_5,0.0194,0.0013,0.0666,0.068,0.0664,0.0623,0.2633,0.0042,0.0035,0.0041,0.0027,0.0145
feature_6,0.012,0.0008,0.0567,0.0584,0.0596,0.0551,0.2298,0.0053,0.0023,0.004,0.0034,0.0149
feature_7,-0.0084,0.0006,0.0677,0.0688,0.0689,0.0614,0.2669,0.0031,0.0044,0.0033,0.0046,0.0154
feature_8,0.0132,0.0009,0.0586,0.0546,0.0569,0.0596,0.2296,0.0039,0.0052,0.0022,0.0036,0.0148
feature_9,0.046,0.0031,0.0652,0.0651,0.0674,0.0607,0.2585,0.0062,0.0044,0.0032,0.0033,0.0172
feature_10,-0.0542,0.0036,0.062,0.063,0.0663,0.0648,0.2562,0.0034,0.0047,0.0038,0.0026,0.0144
feature_11,0.0381,0.0026,0.0646,0.0647,0.0635,0.0667,0.2595,0.0034,0.0047,0.0029,0.0043,0.0153
feature_12,0.0917,0.0061,0.0604,0.0634,0.0662,0.0585,0.2486,0.0034,0.0036,0.0027,0.0033,0.013
feature_13,0.0,0.0,0.0468,0.0464,0.0474,0.0489,0.1894,0.0023,0.0022,0.0042,0.003,0.0117
feature_14,-0.0,0.0,0.0509,0.0495,0.0476,0.0473,0.1954,0.0046,0.003,0.0026,0.0036,0.0137
feature_15,-0.0371,0.0025,0.0542,0.0543,0.0542,0.0506,0.2134,0.0037,0.0044,0.0029,0.0026,0.0137
feature_16,0.0386,0.0026,0.0582,0.0592,0.0626,0.057,0.237,0.0044,0.0031,0.0034,0.0023,0.0131
feature_17,0.0466,0.0031,0.0588,0.0562,0.0557,0.0669,0.2376,0.002,0.0036,0.0038,0.0043,0.0137
feature_18,0.0144,0.001,0.0495,0.0491,0.0475,0.0477,0.1938,0.0026,0.0022,0.0024,0.0042,0.0113
feature_19,0.0079,0.0005,0.0604,0.0604,0.0581,0.0563,0.2352,0.0025,0.0046,0.0022,0.0034,0.0127
feature_20,-0.0,0.0,0.0649,0.0644,0.0641,0.065,0.2585,0.0046,0.0046,0.0021,0.0049,0.0161
feature_21,0.0,0.0,0.0502,0.0487,0.0534,0.0529,0.2052,0.0032,0.0031,0.003,0.0023,0.0116
feature_22,-0.1152,0.0077,0.0525,0.0512,0.0493,0.0463,0.1992,0.0103,0.0026,0.0025,0.0031,0.0185
feature_23,-0.0191,0.0013,0.058,0.0612,0.0568,0.0486,0.2247,0.0039,0.0049,0.0031,0.0031,0.0149
feature_24,0.0859,0.0058,0.058,0.0546,0.0556,0.0623,0.2305,0.0025,0.004,0.0037,0.0034,0.0136
feature_25,0.0023,0.0002,0.0667,0.0696,0.0686,0.0667,0.2717,0.0044,0.0034,0.0021,0.0044,0.0143
feature_26,0.0,0.0,0.0493,0.0477,0.0474,0.0494,0.1939,0.0027,0.0037,0.0019,0.0029,0.0111
feature_27,-0.0275,0.0018,0.0554,0.0549,0.0535,0.0566,0.2204,0.0059,0.003,0.0027,0.0028,0.0145
feature_28,-0.0272,0.0018,0.0505,0.0508,0.0503,0.0476,0.1992,0.0055,0.0026,0.0037,0.0023,0.0141
feature_29,-0.0296,0.002,0.0443,0.0457,0.0478,0.0418,0.1796,0.0018,0.0023,0.0035,0.0027,0.0103
feature_30,-0.0,0.0,0.0544,0.0504,0.0532,0.0589,0.2168,0.0024,0.0044,0.002,0.0042,0.0131
feature_31,-0.0031,0.0002,0.055,0.0578,0.0583,0.0523,0.2233,0.0038,0.0024,0.0037,0.0034,0.0133
feature_32,-0.0275,0.0018,0.057,0.0589,0.06,0.0604,0.2363,0.0025,0.0054,0.0034,0.0027,0.014
feature_33,-0.0558,0.0037,0.0576,0.0604,0.0611,0.0578,0.237,0.0023,0.0025,0.0038,0.0064,0.015
feature_34,0.0406,0.0027,0.0666,0.0683,0.0625,0.0599,0.2572,0.0062,0.0061,0.0047,0.0025,0.0195
feature_35,0.0143,0.001,0.0609,0.0578,0.0578,0.0613,0.2379,0.0025,0.0027,0.006,0.0041,0.0152
feature_36,0.1099,0.0074,0.0546,0.0521,0.0524,0.0584,0.2175,0.0034,0.0019,0.005,0.0034,0.0137
feature_37,-0.0447,0.003,0.0595,0.0577,0.0572,0.0589,0.2333,0.0034,0.0037,0.0036,0.0038,0.0145
feature_38,0.0106,0.0007,0.0524,0.0519,0.0533,0.049,0.2066,0.0021,0.0061,0.0026,0.0025,0.0133
feature_39,0.0075,0.0005,0.0656,0.0637,0.062,0.0649,0.2563,0.0026,0.0049,0.0069,0.0039,0.0182
feature_40,0.0252,0.0017,0.0533,0.0559,0.0523,0.0473,0.2089,0.0038,0.0027,0.0041,0.0038,0.0144
feature_41,0.0093,0.0006,0.055,0.0563,0.0541,0.0533,0.2186,0.0034,0.0023,0.0043,0.0026,0.0126
feature_42,0.0,0.0,0.0468,0.0465,0.0475,0.0483,0.1891,0.0025,0.0036,0.0022,0.0025,0.0108
feature_43,0.0158,0.0011,0.0668,0.0706,0.0712,0.0594,0.268,0.0047,0.0049,0.0033,0.0031,0.0161
feature_44,-0.0032,0.0002,0.0627,0.0628,0.0599,0.068,0.2534,0.0036,0.0027,0.0054,0.0031,0.0148
feature_45,0.0375,0.0025,0.0614,0.0655,0.0618,0.0525,0.2413,0.0035,0.0018,0.0034,0.0049,0.0135
feature_46,0.0014,0.0001,0.0654,0.0657,0.0672,0.0668,0.2651,0.0045,0.0034,0.0034,0.0041,0.0154
feature_47,0.068,0.0046,0.0602,0.0631,0.0689,0.0585,0.2507,0.0052,0.0021,0.0031,0.0029,0.0133
feature_48,0.1592,0.0107,0.0589,0.061,0.0631,0.0569,0.2399,0.0032,0.0058,0.0021,0.0028,0.0139
feature_49,0.0773,0.0052,0.053,0.0529,0.0516,0.0525,0.21,0.0038,0.0044,0.0029,0.0026,0.0137
feature_50,0.0168,0.0011,0.0627,0.0645,0.068,0.0618,0.257,0.0042,0.0022,0.0045,0.0068,0.0178
feature_51,-0.0204,0.0014,0.0672,0.0652,0.0653,0.0688,0.2665,0.0026,0.0047,0.0032,0.0036,0.0141
feature_52,0.0569,0.0038,0.0638,0.0621,0.0634,0.0656,0.2549,0.0034,0.0043,0.0022,0.0057,0.0155
feature_53,0.0,0.0,0.0495,0.0494,0.0485,0.0457,0.1931,0.0056,0.0036,0.0028,0.0021,0.0141
feature_54,0.0087,0.0006,0.0509,0.0519,0.0521,0.0431,0.198,0.0044,0.0041,0.0024,0.0031,0.0139
feature_55,0.0,0.0,0.0745,0.0778,0.0748,0.0757,0.3029,0.0043,0.0029,0.0041,0.0036,0.0148
feature_56,0.0,0.0,0.0555,0.0621,0.0591,0.0514,0.2281,0.0035,0.002,0.0029,0.0029,0.0114
feature_57,0.0,0.0,0.0523,0.0523,0.0523,0.054,0.2109,0.0037,0.0024,0.0038,0.0059,0.0158
feature_58,-0.0396,0.0027,0.0685,0.0699,0.0712,0.0713,0.2809,0.0049,0.0046,0.0034,0.0035,0.0163
feature_59,0.0103,0.0007,0.0549,0.0554,0.0544,0.0544,0.2191,0.0063,0.0029,0.0034,0.0029,0.0156
feature_60,-0.0408,0.0027,0.0577,0.0588,0.057,0.0591,0.2326,0.0032,0.0043,0.0053,0.0023,0.0151
feature_61,0.0225,0.0015,0.0479,0.0486,0.0479,0.05,0.1943,0.003,0.0021,0.0032,0.0023,0.0107
feature_62,0.0,0.0,0.0603,0.0616,0.0623,0.0615,0.2458,0.0022,0.0034,0.0035,0.0024,0.0115
feature_63,0.0112,0.0008,0.0515,0.0534,0.054,0.0481,0.207,0.0025,0.003,0.0025,0.0046,0.0126
feature_64,-0.0,0.0,0.0584,0.0602,0.0609,0.0599,0.2394,0.0036,0.0054,0.0021,0.0024,0.0136
feature_65,0.0291,0.002,0.0563,0.0565,0.0552,0.0561,0.224,0.0028,0.0045,0.0034,0.0023,0.013
feature_66,-0.017,0.0011,0.072,0.0687,0.0658,0.0759,0.2824,0.0029,0.004,0.0061,0.0061,0.019
feature_67,-0.0,0.0,0.0669,0.0657,0.0622,0.0678,0.2627,0.0065,0.0039,0.0043,0.0035,0.0182
feature_68,0.0087,0.0006,0.0601,0.0601,0.0594,0.0578,0.2374,0.0054,0.0043,0.0027,0.0042,0.0166
feature_69,-0.0,0.0,0.0494,0.0464,0.0464,0.0495,0.1916,0.0031,0.0033,0.0052,0.0027,0.0143
feature_70,-0.0919,0.0062,0.0613,0.0605,0.06,0.0598,0.2416,0.0047,0.0041,0.0066,0.0034,0.0188
