,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.7322,0.2455,1.3722,1.3888,1.3621,1.3657,5.4888,0.0783,0.1067,0.0702,0.0894,0.3447
feature_1,0.1163,0.039,1.5805,1.5822,1.5847,1.583,6.3304,0.078,0.1178,0.0856,0.1142,0.3956
feature_2,-0.2646,0.0887,1.6663,1.638,1.7018,1.6863,6.6924,0.1049,0.0857,0.1194,0.1084,0.4184
feature_3,0.3067,0.1029,1.6077,1.576,1.6529,1.632,6.4686,0.0529,0.1844,0.1024,0.0649,0.4045
feature_4,-0.0048,0.0016,1.5056,1.4869,1.5376,1.5248,6.0548,0.0911,0.0917,0.086,0.1107,0.3796
feature_5,-0.0431,0.0144,2.7018,2.7819,2.5692,2.6272,10.68,0.2919,0.0687,0.1664,0.1325,0.6595
feature_6,-0.7645,0.2564,1.8608,1.8423,1.8655,1.8636,7.4322,0.1123,0.1171,0.093,0.1395,0.4619
feature_7,-0.7497,0.2514,1.7403,1.7498,1.7329,1.7363,6.9592,0.0837,0.128,0.103,0.1239,0.4387
rank_correlation,-0.3333,1.0,0.2143,0.1667,0.2143,0.2143,0.2143,-0.0952,0.5238,-0.0952,0.1429,0.2143
cosine_similarity,-0.3087,1.0,0.7175,0.7135,0.7238,0.721,0.7191,0.5344,0.796,0.6796,0.7658,0.7218
