,reg,reg_abs,head1_self,head2_self,head3_self,head4_self,head_sum_self,head1_no_self,head2_no_self,head3_no_self,head4_no_self,head_sum_no_self
feature_0,0.0347,0.011,0.6083,0.5733,0.6066,0.6024,2.3905,0.0436,0.0365,0.0523,0.0604,0.1928
feature_1,-0.1156,0.0367,0.7065,0.7077,0.6835,0.699,2.7967,0.0328,0.045,0.0604,0.0511,0.1893
feature_2,0.011,0.0035,1.0669,1.1601,1.0346,1.0973,4.359,0.0307,0.061,0.1141,0.0391,0.2448
feature_3,0.0898,0.0286,0.6474,0.442,0.5327,0.5457,2.1677,0.0583,0.0204,0.0551,0.037,0.1708
feature_4,-0.0107,0.0034,0.9848,0.779,0.7679,0.8582,3.3899,0.0327,0.0362,0.0341,0.0545,0.1575
feature_5,0.0051,0.0016,0.7823,0.923,0.8008,0.8407,3.3468,0.0428,0.0355,0.0515,0.1031,0.2328
feature_6,-0.086,0.0273,0.6979,0.6352,0.7515,0.6896,2.7742,0.0682,0.0559,0.0321,0.0265,0.1826
feature_7,0.0115,0.0037,0.6779,0.6525,0.6467,0.6645,2.6415,0.0748,0.0339,0.0237,0.0473,0.1797
feature_8,0.0341,0.0109,0.8986,0.9644,0.9726,0.9397,3.7753,0.0639,0.1035,0.0241,0.0318,0.2235
feature_9,0.0,0.0,1.2616,1.6196,1.3424,1.4062,5.6298,0.0631,0.0584,0.0986,0.0327,0.2528
feature_10,-0.0109,0.0035,0.6385,0.6524,0.6616,0.652,2.6045,0.0327,0.0332,0.0346,0.0852,0.1858
feature_11,0.1358,0.0432,0.7036,0.7456,0.807,0.7558,3.0119,0.0367,0.0736,0.0279,0.0498,0.188
feature_12,-0.6745,0.2145,0.6292,0.5124,0.5644,0.5711,2.277,0.0493,0.0411,0.0393,0.0346,0.1643
feature_13,-0.7633,0.2427,0.7004,0.6999,0.7647,0.7197,2.8847,0.0448,0.0298,0.034,0.0436,0.1523
feature_14,0.0057,0.0018,0.6529,0.5843,0.6404,0.6335,2.5111,0.0418,0.0288,0.0487,0.0382,0.1576
feature_15,0.0042,0.0013,0.6503,0.5837,0.6102,0.6073,2.4515,0.0349,0.0637,0.0537,0.0571,0.2094
feature_16,0.1287,0.0409,0.644,0.6521,0.6855,0.6507,2.6322,0.0509,0.0409,0.0242,0.0381,0.1541
feature_17,-0.0899,0.0286,0.6041,0.5535,0.6071,0.5798,2.3445,0.0437,0.0268,0.0524,0.029,0.1519
feature_18,0.881,0.2801,0.5664,0.602,0.6043,0.5872,2.3599,0.035,0.0302,0.0366,0.0441,0.1459
feature_19,-0.0523,0.0166,0.9145,1.0321,0.9739,0.957,3.8775,0.0706,0.0675,0.0422,0.0351,0.2154
rank_correlation,-0.0015,1.0,-0.4451,-0.3368,-0.3308,-0.385,-0.3699,0.1308,-0.1474,-0.3098,-0.2541,-0.5925
cosine_similarity,-0.1308,1.0,0.429,0.4014,0.4374,0.4223,0.4231,0.4548,0.3803,0.3703,0.4187,0.4312
